0,1,2
,,
,,
"Meal, Inexpensive Restaurant",13.75 €,10.00-20.00
"Meal for 2 People, Mid-range Restaurant, Three-course",50.00 €,35.00-80.00
McMeal at McDonalds (or Equivalent Combo Meal),8.90 €,8.00-10.00
Domestic Beer (0.5 liter draught),3.00 €,2.00-5.00
Imported Beer (0.33 liter bottle),4.00 €,2.00-6.00
Cappuccino (regular),2.28 €,0.80-4.00
Coke/Pepsi (0.33 liter bottle),1.79 €,1.00-3.00
Water (0.33 liter bottle),1.25 €,1.00-2.00
,,
"Milk (regular), (1 liter)",0.96 €,0.80-1.30
Loaf of Fresh White Bread (500g),1.44 €,0.80-3.00
"Rice (white), (1kg)",1.43 €,1.00-2.00
Eggs (regular) (12),2.81 €,1.80-3.60
Local Cheese (1kg),10.28 €,5.25-22.00
Chicken Fillets (1kg),7.10 €,3.80-9.00
Beef Round (1kg) (or Equivalent Back Leg Red Meat),12.48 €,7.50-16.00
Apples (1kg),2.16 €,1.00-3.00
Banana (1kg),1.39 €,1.00-3.00
Oranges (1kg),1.76 €,1.00-3.49
Tomato (1kg),2.27 €,0.99-3.00
Potato (1kg),1.78 €,0.78-3.10
Onion (1kg),1.84 €,1.00-2.81
Lettuce (1 head),1.53 €,0.77-2.50
Water (1.5 liter bottle),0.77 €,0.28-1.50
Bottle of Wine (Mid-Range),5.00 €,3.00-8.00
Domestic Beer (0.5 liter bottle),1.23 €,0.72-2.27
Imported Beer (0.33 liter bottle),2.58 €,0.90-4.00
Cigarettes 20 Pack (Marlboro),5.50 €,5.00-6.00
,,
One-way Ticket (Local Transport),2.00 €,1.60-2.30
Monthly Pass (Regular Price),40.00 €,30.00-40.00
Taxi Start (Normal Tariff),3.60 €,3.00-4.50
Taxi 1km (Normal Tariff),0.70 €,0.50-1.00
Taxi 1hour Waiting (Normal Tariff),15.00 €,14.80-25.00
Gasoline (1 liter),1.83 €,1.63-2.00
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"30,000.00 €","28,000.00-31,000.00"
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),"33,234.29 €","32,000.00-34,070.00"
,,
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",131.98 €,80.00-212.50
Mobile Phone Monthly Plan with Calls and 10GB+ Data,22.93 €,12.00-35.00
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",39.05 €,30.00-50.00
,,
"Fitness Club, Monthly Fee for 1 Adult",39.57 €,29.90-60.00
Tennis Court Rent (1 Hour on Weekend),12.76 €,8.00-20.00
"Cinema, International Release, 1 Seat",8.00 €,7.00-12.00
,,
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",537.76 €,450.00-916.67
"International Primary School, Yearly for 1 Child","13,487.88 €","7,000.00-19,420.00"
,,
1 Pair of Jeans (Levis 501 Or Similar),78.89 €,40.00-120.00
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",34.73 €,20.00-50.00
1 Pair of Nike Running Shoes (Mid-Range),81.51 €,50.00-120.00
1 Pair of Men Leather Business Shoes,99.32 €,57.00-180.00
,,
Apartment (1 bedroom) in City Centre,"1,324.58 €","950.00-2,000.00"
Apartment (1 bedroom) Outside of Centre,914.52 €,"700.00-1,400.00"
Apartment (3 bedrooms) in City Centre,"2,573.47 €","1,800.00-4,000.00"
Apartment (3 bedrooms) Outside of Centre,"1,670.73 €","1,200.00-2,500.00"
,,
Price per Square Meter to Buy Apartment in City Centre,"6,191.24 €","4,000.00-9,890.00"
Price per Square Meter to Buy Apartment Outside of Centre,"3,190.04 €","2,000.00-5,000.00"
,,
Average Monthly Net Salary (After Tax),"1,217.49 €",
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.01,1.44-5.43
URL:,,
Description:,,
,,
,,
Your Email Address:,,
,,
Cost of Living in Carnaxide,10.67 km,
Cost of Living in Odivelas,11.27 km,
Cost of Living in Alges,11.31 km,
Cost of Living in Amadora,12.70 km,
Cost of Living in Almada,13.61 km,
Cost of Living in Corroios,15.41 km,
Cost of Living in Loures,15.51 km,
Cost of Living in Queluz,15.81 km,
Cost of Living in Oeiras,18.85 km,
Cost of Living in Rio de Mouro,21.97 km,
DeutschLebenshaltungskosten in Lissabon,,
PortuguêsCusto de Vida em Lisboa,,
ItalianoCosto della Vita a Lisbona,,
FrançaisCoût de la Vie à Lisbonne,,
EspañolCosto de Vida en Lisboa,,
